Group,Task,Run,Elapsed (s),Exit Code,File Count,Timestamp
C,5-2,3,34.9,0,945,2026-03-12T19:44:48.024203+00:00
C,5-3,3,28.2,0,763,2026-03-12T19:45:19.185478+00:00
C,5-4,3,30.4,0,822,2026-03-12T19:45:52.588305+00:00
C,5-5,3,30.3,0,940,2026-03-12T19:46:25.871446+00:00
C,5-6,3,16.0,0,624,2026-03-12T19:46:44.884699+00:00
C,5-7,3,29.6,0,838,2026-03-12T19:47:17.523385+00:00
C,5-8,3,29.8,0,987,2026-03-12T19:47:50.309006+00:00
C,1,4,416.7,0,29,2026-03-12T19:54:50.466315+00:00
C,2,4,269.2,0,45,2026-03-12T19:59:22.911570+00:00
C,3,4,277.2,0,52,2026-03-12T20:04:03.273489+00:00
C,4,4,300.6,0,62,2026-03-12T20:09:07.034494+00:00
C,5-1,4,15.2,0,579,2026-03-12T20:09:25.234452+00:00
C,5-2,4,33.1,0,877,2026-03-12T20:10:01.287790+00:00
C,5-3,4,36.5,0,913,2026-03-12T20:10:40.817256+00:00
C,5-4,4,35.7,0,1050,2026-03-12T20:11:19.554354+00:00
C,5-5,4,30.9,0,657,2026-03-12T20:11:53.491865+00:00
C,5-6,4,16.1,0,554,2026-03-12T20:12:12.548181+00:00
C,5-7,4,30.1,0,692,2026-03-12T20:12:45.660089+00:00
C,5-8,4,16.1,0,573,2026-03-12T20:13:04.815177+00:00
C,1,5,511.0,0,27,2026-03-12T20:21:39.555822+00:00
C,2,5,389.7,0,45,2026-03-12T20:28:12.502790+00:00
C,3,5,203.5,0,51,2026-03-12T20:31:39.322698+00:00
C,4,5,307.2,0,62,2026-03-12T20:36:49.866731+00:00
C,5-1,5,37.1,0,1088,2026-03-12T20:37:29.920402+00:00
C,5-2,5,17.6,0,644,2026-03-12T20:37:50.565477+00:00
C,5-3,5,32.1,0,926,2026-03-12T20:38:25.628716+00:00
C,5-4,5,31.6,0,826,2026-03-12T20:39:00.260771+00:00
C,5-5,5,47.6,0,704,2026-03-12T20:39:50.895971+00:00
C,5-6,5,31.4,0,849,2026-03-12T20:40:25.309062+00:00
C,5-7,5,26.5,0,714,2026-03-12T20:40:54.770585+00:00
C,5-8,5,15.8,0,487,2026-03-12T20:41:13.594425+00:00
