Group,Task,Run,Item,Desc,Passed
B,3,2,3-15,혼적 금지 (HAZMAT→비HAZMAT),True
B,3,2,3-16,혼적 금지 (비HAZMAT→HAZMAT),True
B,3,2,3-17,유통기한 < 10% 이동 제한,True
B,3,2,3-18,유통기한 만료 이동 불가,True
B,3,2,3-19,대량 이동 승인 (80%),True
B,3,2,3-20,안전재고 체크,True
B,3,3,3-1,단일 트랜잭션,True
B,3,3,3-2,롤백 처리,True
B,3,3,3-3,동일 로케이션 거부,True
B,3,3,3-4,출발지 재고 부족 체크,True
B,3,3,3-5,도착지 용량 체크,True
B,3,3,3-6,출발지 location.current_qty 차감,True
B,3,3,3-7,도착지 location.current_qty 증가,True
B,3,3,3-8,기존 레코드 병합,True
B,3,3,3-9,received_at 보존,True
B,3,3,3-10,이력 기록,True
B,3,3,3-11,실사 동결 체크 (출발지),True
B,3,3,3-12,실사 동결 체크 (도착지),True
B,3,3,3-13,보관유형 호환 체크,True
B,3,3,3-14,HAZMAT zone 체크,True
B,3,3,3-15,혼적 금지 (HAZMAT→비HAZMAT),True
B,3,3,3-16,혼적 금지 (비HAZMAT→HAZMAT),True
B,3,3,3-17,유통기한 < 10% 이동 제한,True
B,3,3,3-18,유통기한 만료 이동 불가,True
B,3,3,3-19,대량 이동 승인 (80%),True
B,3,3,3-20,안전재고 체크,True
B,3,4,3-1,단일 트랜잭션,True
B,3,4,3-2,롤백 처리,True
B,3,4,3-3,동일 로케이션 거부,True
B,3,4,3-4,출발지 재고 부족 체크,True
B,3,4,3-5,도착지 용량 체크,True
B,3,4,3-6,출발지 location.current_qty 차감,True
B,3,4,3-7,도착지 location.current_qty 증가,True
B,3,4,3-8,기존 레코드 병합,True
B,3,4,3-9,received_at 보존,True
B,3,4,3-10,이력 기록,True
B,3,4,3-11,실사 동결 체크 (출발지),True
B,3,4,3-12,실사 동결 체크 (도착지),True
B,3,4,3-13,보관유형 호환 체크,True
B,3,4,3-14,HAZMAT zone 체크,True
B,3,4,3-15,혼적 금지 (HAZMAT→비HAZMAT),True
B,3,4,3-16,혼적 금지 (비HAZMAT→HAZMAT),True
B,3,4,3-17,유통기한 < 10% 이동 제한,True
B,3,4,3-18,유통기한 만료 이동 불가,True
B,3,4,3-19,대량 이동 승인 (80%),True
B,3,4,3-20,안전재고 체크,True
B,3,5,3-1,단일 트랜잭션,True
B,3,5,3-2,롤백 처리,True
B,3,5,3-3,동일 로케이션 거부,True
B,3,5,3-4,출발지 재고 부족 체크,True
B,3,5,3-5,도착지 용량 체크,True
B,3,5,3-6,출발지 location.current_qty 차감,True
B,3,5,3-7,도착지 location.current_qty 증가,True
B,3,5,3-8,기존 레코드 병합,True
B,3,5,3-9,received_at 보존,True
B,3,5,3-10,이력 기록,True
B,3,5,3-11,실사 동결 체크 (출발지),True
B,3,5,3-12,실사 동결 체크 (도착지),True
B,3,5,3-13,보관유형 호환 체크,True
B,3,5,3-14,HAZMAT zone 체크,True
B,3,5,3-15,혼적 금지 (HAZMAT→비HAZMAT),True
B,3,5,3-16,혼적 금지 (비HAZMAT→HAZMAT),True
B,3,5,3-17,유통기한 < 10% 이동 제한,True
B,3,5,3-18,유통기한 만료 이동 불가,True
B,3,5,3-19,대량 이동 승인 (80%),True
B,3,5,3-20,안전재고 체크,True
B,4,1,4-1,reason 필수,True
B,4,1,4-2,차이 비율 계산,True
B,4,1,4-3,자동 승인 로직,True
B,4,1,4-4,자동 승인 즉시 반영,True
B,4,1,4-5,>5% 승인 대기,True
B,4,1,4-6,승인 전 미반영,True
B,4,1,4-7,system_qty=0 승인 필요,True
B,4,1,4-8,승인 후 반영,True
B,4,1,4-9,거부 시 무변동,True
B,4,1,4-10,location.current_qty 갱신,True
B,4,1,4-11,DELETE 불가,True
B,4,1,4-12,핵심 필드 UPDATE 불가,True
B,4,1,4-13,GENERAL 임계치 ±5%,True
B,4,1,4-14,FRESH 임계치 ±3%,True
B,4,1,4-15,HAZMAT 임계치 ±1%,True
B,4,1,4-16,HIGH_VALUE 자동승인 없음,True
B,4,1,4-17,연속 조정 감시 조회,True
B,4,1,4-18,연속 조정 → 승인 격상,True
B,4,1,4-19,연속 조정 태그 추가,True
B,4,1,4-20,HIGH_VALUE audit_logs 기록,True
B,4,1,4-21,HIGH_VALUE 재실사 권고,True
B,4,1,4-22,실사 시작 → is_frozen 설정,True
B,4,1,4-23,실사 완료 → is_frozen 해제,True
B,4,1,4-24,안전재고 체크,True
B,4,1,4-25,안전재고 트리거 기록,True
B,4,2,4-1,reason 필수,True
B,4,2,4-2,차이 비율 계산,True
B,4,2,4-3,자동 승인 로직,True
B,4,2,4-4,자동 승인 즉시 반영,True
